市町村名,年,総人口,男,女
佐久穂町,2023,9949,4863,5086
佐久穂町,2024,9757,4762,4995
佐久穂町,2025,9640,4709,4931
川上村,2017,3925,2086,1839
川上村,2018,3900,2083,1817
川上村,2019,3850,2079,1771
川上村,2020,3861,2119,1742
川上村,2021,3837,2109,1728
川上村,2022,3734,2049,1685
川上村,2023,3694,2042,1652
川上村,2024,3627,2016,1611
川上村,2025,3518,1951,1567
南牧村,2017,3098,1564,1534
南牧村,2018,3071,1559,1512
南牧村,2019,3025,1534,1491
南牧村,2020,3013,1556,1457
南牧村,2021,3086,1650,1436
南牧村,2022,2987,1568,1419
南牧村,2023,2959,1565,1394
南牧村,2024,2941,1558,1383
南牧村,2025,2900,1555,1345
南相木村,2017,986,467,519
南相木村,2018,963,466,497
南相木村,2019,936,452,484
南相木村,2020,909,443,466
南相木村,2021,958,470,488
南相木村,2022,931,450,481
南相木村,2023,928,451,477
南相木村,2024,893,437,456
南相木村,2025,888,437,451
北相木村,2017,768,376,392
北相木村,2018,750,372,378
北相木村,2019,750,371,379
北相木村,2020,727,356,371
北相木村,2021,738,366,372
北相木村,2022,711,353,358
北相木村,2023,696,353,343
北相木村,2024,683,343,340
北相木村,2025,669,338,331
軽井沢町,2017,19066,9159,9907
軽井沢町,2018,19054,9153,9901
軽井沢町,2019,19159,9183,9976
軽井沢町,2020,19189,9177,10012
軽井沢町,2021,19277,9209,10068
軽井沢町,2022,19428,9315,10113
軽井沢町,2023,19706,9431,10275
軽井沢町,2024,19799,9491,10308
軽井沢町,2025,19948,9555,10393
御代田町,2017,15145,7507,7638
御代田町,2018,15180,7538,7642
御代田町,2019,15209,7573,7636
御代田町,2020,15409,7631,7778
御代田町,2021,15543,7705,7838
御代田町,2022,15710,7759,7951
御代田町,2023,15885,7842,8043
御代田町,2024,16213,7981,8232
御代田町,2025,16433,8093,8340
立科町,2017,7175,3538,3637
立科町,2018,7083,3507,3576
立科町,2019,6957,3455,3502
立科町,2020,6811,3399,3412
立科町,2021,6580,3317,3263
立科町,2022,6487,3251,3236
立科町,2023,6361,3197,3164
立科町,2024,6245,3139,3106
立科町,2025,6197,3104,3093
長和町,2017,5986,2931,3055
長和町,2018,5892,2883,3009
長和町,2019,5816,2854,2962
長和町,2020,5688,2794,2894
長和町,2021,5588,2774,2814
長和町,2022,5516,2738,2778
長和町,2023,5439,2716,2723
長和町,2024,5306,2650,2656
長和町,2025,5215,2609,2606
青木村,2017,4266,2053,2213
青木村,2018,4192,2007,2185
青木村,2019,4154,1978,2176
青木村,2020,4101,1975,2126
青木村,2021,4114,1979,2135
青木村,2022,4077,1953,2124
青木村,2023,4024,1946,2078
青木村,2024,3935,1906,2029
青木村,2025,3868,1877,1991
下諏訪町,2017,20039,9641,10398
下諏訪町,2018,19776,9527,10249
下諏訪町,2019,19520,9424,10096
下諏訪町,2020,19151,9217,9934
下諏訪町,2021,19078,9211,9867
下諏訪町,2022,18853,9098,9755
下諏訪町,2023,18629,8965,9664
下諏訪町,2024,18344,8845,9499
下諏訪町,2025,17991,8660,9331
富士見町,2017,14406,7010,7396
富士見町,2018,14235,6940,7295
富士見町,2019,14039,6822,7217
富士見町,2020,13919,6752,7167
富士見町,2021,14081,6839,7242
富士見町,2022,14015,6819,7196
富士見町,2023,13915,6773,7142
富士見町,2024,13898,6771,7127
富士見町,2025,13796,6727,7069
原村,2017,7592,3757,3835
原村,2018,7630,3796,3834
原村,2019,7677,3809,3868
原村,2020,7709,3819,3890
原村,2021,7662,3752,3910
原村,2022,7668,3748,3920
原村,2023,7690,3746,3944
原村,2024,7719,3748,3971
原村,2025,7716,3725,3991
辰野町,2017,19464,9526,9938
辰野町,2018,19308,9432,9876
辰野町,2019,19114,9332,9782
辰野町,2020,18821,9203,9618
辰野町,2021,18511,8976,9535
辰野町,2022,18234,8810,9424
辰野町,2023,17982,8702,9280
辰野町,2024,17662,8541,9121
辰野町,2025,17382,8404,8978
箕輪町,2017,25174,12641,12533
箕輪町,2018,25100,12656,12444
箕輪町,2019,25148,12691,12457
箕輪町,2020,25113,12693,12420
箕輪町,2021,24945,12485,12460
箕輪町,2022,24806,12419,12387
箕輪町,2023,24785,12413,12372
箕輪町,2024,24582,12337,12245
箕輪町,2025,24517,12295,12222
飯島町,2017,9429,4553,4876
飯島町,2018,9356,4523,4833
飯島町,2019,9192,4467,4725
飯島町,2020,9062,4419,4643
飯島町,2021,9003,4403,4600
飯島町,2022,8949,4383,4566
飯島町,2023,8763,4298,4465
飯島町,2024,8642,4210,4432
飯島町,2025,8551,4166,4385
南箕輪村,2017,15276,7617,7659
南箕輪村,2018,15355,7641,7714
南箕輪村,2019,15454,7715,7739
南箕輪村,2020,15609,7758,7851
南箕輪村,2021,15875,7881,7994
南箕輪村,2022,15955,7944,8011
南箕輪村,2023,16133,8049,8084
南箕輪村,2024,16234,8079,8155
南箕輪村,2025,16179,8053,8126
中川村,2017,4783,2256,2527
中川村,2018,4717,2229,2488
中川村,2019,4697,2217,2480
中川村,2020,4643,2183,2460
中川村,2021,4637,2183,2454
中川村,2022,4587,2171,2416
中川村,2023,4534,2152,2382
中川村,2024,4486,2137,2349
中川村,2025,4444,2107,2337
宮田村,2017,8761,4227,4534
宮田村,2018,8721,4210,4511
宮田村,2019,8745,4214,4531
宮田村,2020,8667,4205,4462
宮田村,2021,8589,4187,4402
宮田村,2022,8522,4182,4340
宮田村,2023,8454,4126,4328
宮田村,2024,8410,4091,4319
宮田村,2025,8367,4074,4293
松川町,2017,13043,6262,6781
松川町,2018,12894,6205,6689
松川町,2019,12767,6135,6632
松川町,2020,12650,6077,6573
松川町,2021,12514,6065,6449
松川町,2022,12382,6014,6368
松川町,2023,12280,5979,6301
松川町,2024,12198,5941,6257
松川町,2025,11981,5841,6140
高森町,2017,12925,6200,6725
高森町,2018,12879,6189,6690
高森町,2019,12827,6171,6656
高森町,2020,12713,6116,6597
高森町,2021,12828,6167,6661
高森町,2022,12757,6146,6611
高森町,2023,12761,6179,6582
高森町,2024,12614,6121,6493
高森町,2025,12450,6045,6405
阿南町,2017,4774,2293,2481
阿南町,2018,4668,2252,2416
阿南町,2019,4581,2194,2387
阿南町,2020,4462,2157,2305
阿南町,2021,4281,2057,2224
阿南町,2022,4199,2027,2172
阿南町,2023,4083,1972,2111
阿南町,2024,3950,1904,2046
阿南町,2025,3802,1825,1977
阿智村,2017,6477,3087,3390
阿智村,2018,6414,3046,3368
阿智村,2019,6280,2991,3289
阿智村,2020,6197,2953,3244
阿智村,2021,6034,2880,3154
阿智村,2022,5951,2852,3099
阿智村,2023,5856,2820,3036
阿智村,2024,5790,2792,2998
阿智村,2025,5742,2759,2983
平谷村,2017,453,216,237
平谷村,2018,436,209,227
平谷村,2019,417,203,214
平谷村,2020,404,198,206
平谷村,2021,385,192,193
平谷村,2022,380,189,191
平谷村,2023,377,186,191
平谷村,2024,366,182,184
平谷村,2025,368,185,183
根羽村,2017,939,461,478
根羽村,2018,916,448,468
根羽村,2019,876,425,451
根羽村,2020,861,419,442
根羽村,2021,845,408,437
根羽村,2022,855,419,436
根羽村,2023,838,417,421
根羽村,2024,797,406,391
根羽村,2025,778,396,382
下條村,2017,3752,1811,1941
下條村,2018,3698,1786,1912
下條村,2019,3672,1779,1893
下條村,2020,3625,1752,1873
下條村,2021,3548,1710,1838
下條村,2022,3465,1665,1800
下條村,2023,3410,1635,1775
下條村,2024,3337,1602,1735
下條村,2025,3280,1580,1700
売木村,2017,560,254,306
売木村,2018,532,244,288
売木村,2019,529,244,285
売木村,2020,520,237,283
売木村,2021,540,248,292
売木村,2022,530,252,278
売木村,2023,518,245,273
売木村,2024,496,239,257
売木村,2025,495,242,253
天龍村,2017,1314,610,704
天龍村,2018,1277,591,686
天龍村,2019,1212,567,645
天龍村,2020,1168,550,618
天龍村,2021,1169,553,616
天龍村,2022,1130,536,594
天龍村,2023,1094,516,578
天龍村,2024,1051,494,557
天龍村,2025,991,469,522
泰阜村,2017,1655,777,878
泰阜村,2018,1629,769,860
泰阜村,2019,1586,745,841
泰阜村,2020,1577,740,837
泰阜村,2021,1536,723,813
泰阜村,2022,1508,713,795
泰阜村,2023,1481,695,786
泰阜村,2024,1431,665,766
泰阜村,2025,1378,646,732
喬木村,2017,6283,3049,3234
喬木村,2018,6236,3012,3224
喬木村,2019,6118,2959,3159
喬木村,2020,6067,2945,3122
喬木村,2021,5958,2903,3055
喬木村,2022,5819,2831,2988
喬木村,2023,5752,2810,2942
喬木村,2024,5684,2780,2904
喬木村,2025,5600,2747,2853
豊丘村,2017,6553,3216,3337
豊丘村,2018,6496,3203,3293
豊丘村,2019,6466,3200,3266
豊丘村,2020,6441,3185,3256
豊丘村,2021,6410,3172,3238
豊丘村,2022,6389,3174,3215
豊丘村,2023,6305,3133,3172
豊丘村,2024,6269,3111,3158
豊丘村,2025,6202,3076,3126
大鹿村,2017,1023,496,527
大鹿村,2018,1000,481,519
大鹿村,2019,966,469,497
大鹿村,2020,957,465,492
大鹿村,2021,1012,534,478
大鹿村,2022,977,516,461
大鹿村,2023,962,502,460
大鹿村,2024,922,486,436
大鹿村,2025,908,485,423
上松町,2017,4559,2227,2332
上松町,2018,4447,2176,2271
上松町,2019,4351,2142,2209
上松町,2020,4172,2055,2117
上松町,2021,4121,2035,2086
上松町,2022,4006,1996,2010
上松町,2023,3917,1956,1961
上松町,2024,3847,1923,1924
上松町,2025,3775,1885,1890
南木曽町,2017,4209,2004,2205
南木曽町,2018,4091,1963,2128
南木曽町,2019,4004,1922,2082
