年,麻績村,筑北村,青木村,生坂村,白馬村,野沢温泉村
2017年,2756,4592,4266,1791,9207,3517
2018年,2713,4511,4192,1743,9223,3502
2019年,2648,4378,4154,1676,9422,3510
2020年,2603,4232,4101,1663,9462,3526
2021年,2569,4145,4114,1639,8617,3293
2022年,2481,4082,4077,1621,8473,3228
2023年,2435,3985,4024,1615,8743,3217
2024年,2368,3858,3935,1567,9117,3300
2025年,2311,3788,3868,1531,9486,3358
